M,|M|,M^2,E,E^2
-0.84,0.84,0.7055999999999999,-34,1156
-0.44,0.44,0.1936,-22,484
-0.6,0.6,0.36,-22,484
-0.36,0.36,0.1296,-10,100
0.36,0.36,0.1296,-14,196
0.28,0.28,0.07840000000000001,-26,676
-0.12,0.12,0.0144,-6,36
-0.2,0.2,0.04000000000000001,-2,4
-0.28,0.28,0.07840000000000001,-2,4
-0.28,0.28,0.07840000000000001,2,4
-0.04,0.04,0.0016,-2,4
0.04,0.04,0.0016,6,36
0.2,0.2,0.04000000000000001,-18,324
-0.12,0.12,0.0144,-14,196
-0.44,0.44,0.1936,-2,4
0.36,0.36,0.1296,-14,196
0.28,0.28,0.07840000000000001,-10,100
0.6,0.6,0.36,-22,484
-0.04,0.04,0.0016,-18,324
0.12,0.12,0.0144,-2,4
0.2,0.2,0.04000000000000001,-2,4
0.6,0.6,0.36,-18,324
0.52,0.52,0.27040000000000003,-22,484
0.28,0.28,0.07840000000000001,-10,100
-0.12,0.12,0.0144,-6,36
0.2,0.2,0.04000000000000001,-2,4
0.12,0.12,0.0144,-2,4
0.12,0.12,0.0144,-10,100
-0.36,0.36,0.1296,-6,36
-0.36,0.36,0.1296,-14,196
-0.2,0.2,0.04000000000000001,-18,324
-0.2,0.2,0.04000000000000001,-14,196
0.2,0.2,0.04000000000000001,-18,324
-0.12,0.12,0.0144,-6,36
-0.44,0.44,0.1936,-10,100
-0.52,0.52,0.27040000000000003,-18,324
-0.2,0.2,0.04000000000000001,-18,324
-0.36,0.36,0.1296,-14,196
0.04,0.04,0.0016,6,36
-0.04,0.04,0.0016,-6,36
0.2,0.2,0.04000000000000001,-14,196
0.2,0.2,0.04000000000000001,-10,100
0.12,0.12,0.0144,2,4
0.36,0.36,0.1296,-10,100
0.2,0.2,0.04000000000000001,14,196
0.12,0.12,0.0144,-2,4
-0.04,0.04,0.0016,-14,196
-0.44,0.44,0.1936,-6,36
-0.04,0.04,0.0016,-2,4
0.36,0.36,0.1296,-14,196
0.12,0.12,0.0144,-10,100
0.12,0.12,0.0144,-10,100
0.28,0.28,0.07840000000000001,-6,36
0.12,0.12,0.0144,-6,36
0.44,0.44,0.1936,-6,36
0.12,0.12,0.0144,-10,100
0.36,0.36,0.1296,-14,196
-0.04,0.04,0.0016,-10,100
-0.12,0.12,0.0144,-6,36
-0.2,0.2,0.04000000000000001,-14,196
-0.2,0.2,0.04000000000000001,-10,100
-0.44,0.44,0.1936,-14,196
-0.12,0.12,0.0144,-6,36
-0.52,0.52,0.27040000000000003,-14,196
-0.6,0.6,0.36,-18,324
-0.68,0.68,0.4624000000000001,-22,484
-0.6,0.6,0.36,-18,324
0.12,0.12,0.0144,-2,4
-0.44,0.44,0.1936,-10,100
-0.52,0.52,0.27040000000000003,-18,324
-0.04,0.04,0.0016,-10,100
0.36,0.36,0.1296,-14,196
0.12,0.12,0.0144,-6,36
-0.44,0.44,0.1936,-10,100
0.04,0.04,0.0016,-6,36
-0.44,0.44,0.1936,-14,196
-0.12,0.12,0.0144,-10,100
-0.28,0.28,0.07840000000000001,-14,196
-0.12,0.12,0.0144,-10,100
0.2,0.2,0.04000000000000001,-10,100
0.12,0.12,0.0144,-2,4
-0.36,0.36,0.1296,-10,100
-0.28,0.28,0.07840000000000001,-14,196
-0.04,0.04,0.0016,-6,36
0.04,0.04,0.0016,-10,100
-0.28,0.28,0.07840000000000001,-14,196
-0.2,0.2,0.04000000000000001,-2,4
-0.6,0.6,0.36,-18,324
-0.92,0.92,0.8464,-42,1764
-0.6,0.6,0.36,-22,484
-0.28,0.28,0.07840000000000001,-2,4
-0.68,0.68,0.4624000000000001,-30,900
-0.36,0.36,0.1296,-22,484
-0.04,0.04,0.0016,-14,196
0.36,0.36,0.1296,-18,324
-0.6,0.6,0.36,-18,324
-0.04,0.04,0.0016,-6,36
0.28,0.28,0.07840000000000001,-18,324
0.36,0.36,0.1296,-10,100
-0.28,0.28,0.07840000000000001,-6,36
