Magnetización,Magnetización_absoluta,Magnetización_cuadrada,Energía,Energía_cuadrada
0.04,0.04,0.0016,22.0,484.0
-0.12,0.12,0.0144,22.0,484.0
0.12,0.12,0.0144,30.0,900.0
-0.04,0.04,0.0016,30.0,900.0
-0.04,0.04,0.0016,30.0,900.0
0.04,0.04,0.0016,18.0,324.0
-0.12,0.12,0.0144,26.0,676.0
-0.04,0.04,0.0016,22.0,484.0
0.04,0.04,0.0016,14.0,196.0
0.12,0.12,0.0144,18.0,324.0
-0.04,0.04,0.0016,30.0,900.0
-0.04,0.04,0.0016,30.0,900.0
0.04,0.04,0.0016,26.0,676.0
0.04,0.04,0.0016,26.0,676.0
-0.04,0.04,0.0016,26.0,676.0
0.04,0.04,0.0016,26.0,676.0
-0.04,0.04,0.0016,30.0,900.0
0.04,0.04,0.0016,30.0,900.0
-0.04,0.04,0.0016,30.0,900.0
-0.04,0.04,0.0016,26.0,676.0
-0.04,0.04,0.0016,30.0,900.0
0.04,0.04,0.0016,22.0,484.0
0.04,0.04,0.0016,30.0,900.0
0.04,0.04,0.0016,26.0,676.0
-0.04,0.04,0.0016,30.0,900.0
0.04,0.04,0.0016,22.0,484.0
-0.04,0.04,0.0016,30.0,900.0
-0.04,0.04,0.0016,30.0,900.0
0.12,0.12,0.0144,22.0,484.0
0.12,0.12,0.0144,22.0,484.0
0.04,0.04,0.0016,30.0,900.0
-0.04,0.04,0.0016,30.0,900.0
0.04,0.04,0.0016,30.0,900.0
0.04,0.04,0.0016,26.0,676.0
0.04,0.04,0.0016,30.0,900.0
-0.04,0.04,0.0016,30.0,900.0
0.04,0.04,0.0016,30.0,900.0
-0.12,0.12,0.0144,26.0,676.0
-0.04,0.04,0.0016,30.0,900.0
-0.04,0.04,0.0016,26.0,676.0
-0.04,0.04,0.0016,26.0,676.0
0.04,0.04,0.0016,26.0,676.0
-0.12,0.12,0.0144,22.0,484.0
0.04,0.04,0.0016,30.0,900.0
-0.04,0.04,0.0016,30.0,900.0
-0.04,0.04,0.0016,26.0,676.0
0.12,0.12,0.0144,30.0,900.0
0.04,0.04,0.0016,30.0,900.0
0.04,0.04,0.0016,30.0,900.0
0.04,0.04,0.0016,30.0,900.0
0.04,0.04,0.0016,22.0,484.0
0.12,0.12,0.0144,22.0,484.0
0.04,0.04,0.0016,14.0,196.0
0.04,0.04,0.0016,22.0,484.0
-0.12,0.12,0.0144,22.0,484.0
0.04,0.04,0.0016,26.0,676.0
0.04,0.04,0.0016,22.0,484.0
-0.04,0.04,0.0016,22.0,484.0
0.04,0.04,0.0016,26.0,676.0
0.2,0.2,0.04000000000000001,22.0,484.0
0.2,0.2,0.04000000000000001,22.0,484.0
-0.12,0.12,0.0144,26.0,676.0
0.04,0.04,0.0016,30.0,900.0
-0.12,0.12,0.0144,26.0,676.0
0.04,0.04,0.0016,30.0,900.0
0.04,0.04,0.0016,22.0,484.0
-0.04,0.04,0.0016,26.0,676.0
0.04,0.04,0.0016,22.0,484.0
-0.04,0.04,0.0016,22.0,484.0
0.12,0.12,0.0144,14.0,196.0
-0.04,0.04,0.0016,22.0,484.0
0.12,0.12,0.0144,26.0,676.0
-0.2,0.2,0.04000000000000001,22.0,484.0
0.12,0.12,0.0144,22.0,484.0
0.04,0.04,0.0016,30.0,900.0
0.12,0.12,0.0144,26.0,676.0
-0.04,0.04,0.0016,22.0,484.0
0.04,0.04,0.0016,22.0,484.0
0.04,0.04,0.0016,26.0,676.0
0.12,0.12,0.0144,30.0,900.0
0.12,0.12,0.0144,26.0,676.0
0.04,0.04,0.0016,26.0,676.0
0.04,0.04,0.0016,26.0,676.0
-0.12,0.12,0.0144,14.0,196.0
0.12,0.12,0.0144,18.0,324.0
0.2,0.2,0.04000000000000001,14.0,196.0
-0.04,0.04,0.0016,22.0,484.0
-0.04,0.04,0.0016,22.0,484.0
-0.04,0.04,0.0016,30.0,900.0
0.04,0.04,0.0016,30.0,900.0
-0.04,0.04,0.0016,26.0,676.0
-0.04,0.04,0.0016,30.0,900.0
0.04,0.04,0.0016,30.0,900.0
-0.04,0.04,0.0016,30.0,900.0
-0.04,0.04,0.0016,30.0,900.0
-0.12,0.12,0.0144,26.0,676.0
-0.12,0.12,0.0144,22.0,484.0
-0.12,0.12,0.0144,22.0,484.0
0.04,0.04,0.0016,26.0,676.0
-0.04,0.04,0.0016,22.0,484.0
